ROWNUMBER,DOCNUMBER,DUEDATE               ,ARCHIVEDON,LOCALOUTSTANDING 
1,6905413734,1/7/2016,5/7/2016,-101.95
2,1460000210,5/11/2016,8/17/2016,2092.93
3,1460000212,5/11/2016,9/17/2016,6444.03
4,6905413800,8/25/2016,10/17/2016,22773.25
5,6905413801,5/11/2016,11/17/2016,-22168.65
6,1100033361,5/11/2016,12/17/2016,12.21
7,1200008181,5/4/2016,6/17/2016,-15730
8,6461930741,5/11/2016,5/17/2016,-266
9,6461917615,5/20/2016,7/17/2016,18121.5
10,6461917608,5/20/2016,6/17/2016,6214.32
11,6461917618,5/20/2016,9/17/2016,10453.2
12,6461916144,5/19/2016,8/17/2016,3186.4
